                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    141,                  1.683,                 1.3053,                 1.2871,                0.74585,                0.62579,                0.70795,                0.40489,                 1.6393,                 1.2242,                 1.2984,                0.00538,                0.00538,                0.00538
                    142,                 1.6822,                 1.3003,                 1.2854,                0.74421,                 0.6275,                0.70979,                0.40702,                 1.6349,                 1.2231,                 1.2964,               0.005347,               0.005347,               0.005347
                    143,                 1.6786,                 1.2971,                 1.2827,                0.75825,                0.61656,                 0.7109,                0.40798,                 1.6327,                  1.219,                 1.2946,               0.005314,               0.005314,               0.005314
                    144,                 1.6699,                 1.2915,                 1.2844,                0.75007,                0.62819,                0.71076,                0.40944,                  1.635,                  1.218,                 1.2957,               0.005281,               0.005281,               0.005281
                    145,                 1.6836,                 1.2902,                 1.2807,                0.73872,                0.63418,                0.70828,                0.40913,                 1.6358,                 1.2172,                 1.2966,               0.005248,               0.005248,               0.005248
                    146,                 1.6659,                 1.2845,                 1.2782,                0.74745,                0.63484,                0.71268,                0.41009,                 1.6337,                 1.2162,                 1.2958,               0.005215,               0.005215,               0.005215
                    147,                 1.6597,                 1.2689,                 1.2734,                0.74505,                0.63538,                0.71297,                0.41107,                 1.6338,                  1.214,                 1.2941,               0.005182,               0.005182,               0.005182
                    148,                 1.6777,                 1.2902,                 1.2889,                0.74737,                0.62521,                0.71253,                0.41146,                 1.6335,                 1.2138,                 1.2935,               0.005149,               0.005149,               0.005149
                    149,                 1.6615,                 1.2825,                 1.2769,                0.75556,                0.62204,                0.71208,                0.41078,                 1.6308,                 1.2111,                 1.2929,               0.005116,               0.005116,               0.005116
                    150,                  1.663,                 1.2828,                 1.2745,                0.75148,                0.62401,                0.71276,                0.41138,                 1.6287,                 1.2098,                 1.2915,               0.005083,               0.005083,               0.005083
                    151,                  1.656,                 1.2869,                 1.2758,                0.75451,                0.62251,                0.71325,                0.41233,                 1.6291,                  1.208,                 1.2922,                0.00505,                0.00505,                0.00505
