epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
174,11221.6,1.57109,1.16166,1.22134,0.81284,0.63398,0.73671,0.43345,1.58181,1.15164,1.28042,0.004291,0.004291,0.004291
175,11284.4,1.57499,1.16723,1.23274,0.7967,0.65021,0.73662,0.43418,1.58219,1.1509,1.28041,0.004258,0.004258,0.004258
176,11347.3,1.56858,1.16597,1.22842,0.80439,0.6433,0.73572,0.43459,1.58246,1.15098,1.28009,0.004225,0.004225,0.004225
177,11410.2,1.57826,1.1681,1.22815,0.80088,0.64588,0.73585,0.43458,1.58257,1.15039,1.27978,0.004192,0.004192,0.004192
178,11473.3,1.56989,1.17017,1.22952,0.80829,0.64124,0.73553,0.43465,1.58236,1.15038,1.27944,0.004159,0.004159,0.004159
179,11536.3,1.56832,1.15978,1.2339,0.81177,0.64052,0.73614,0.43534,1.58178,1.14972,1.27949,0.004126,0.004126,0.004126
180,11599.2,1.57156,1.17293,1.23043,0.80975,0.63914,0.73599,0.43515,1.58235,1.14991,1.27936,0.004093,0.004093,0.004093
181,11661.9,1.56403,1.15926,1.23147,0.81215,0.63852,0.73643,0.43515,1.58266,1.15062,1.27958,0.00406,0.00406,0.00406
182,11724.8,1.55987,1.15775,1.23368,0.80864,0.64147,0.73672,0.43555,1.58353,1.15053,1.27972,0.004027,0.004027,0.004027
183,11787.7,1.57329,1.16721,1.23163,0.80828,0.64363,0.73669,0.43508,1.58251,1.15026,1.27928,0.003994,0.003994,0.003994
184,11850.9,1.56063,1.14817,1.22793,0.80965,0.64004,0.73652,0.43542,1.58225,1.15077,1.27942,0.003961,0.003961,0.003961
185,11914,1.55381,1.14936,1.22403,0.82276,0.63301,0.73698,0.43506,1.58186,1.15006,1.2793,0.003928,0.003928,0.003928
186,11977,1.55803,1.14759,1.22734,0.80629,0.6459,0.73633,0.43435,1.58163,1.14889,1.27911,0.003895,0.003895,0.003895
