                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    112,                 1.6684,                 1.2768,                 1.3018,                0.78784,                0.64656,                0.72982,                0.41324,                 1.6751,                 1.2323,                 1.3409,               0.006337,               0.006337,               0.006337
                    113,                 1.6743,                 1.2827,                 1.2985,                0.81433,                0.63069,                0.73021,                0.41344,                 1.6753,                 1.2285,                 1.3397,               0.006304,               0.006304,               0.006304
                    114,                 1.6619,                 1.2725,                 1.3007,                0.79527,                0.64876,                0.73194,                0.41631,                 1.6753,                 1.2297,                 1.3397,               0.006271,               0.006271,               0.006271
                    115,                 1.6561,                 1.2668,                 1.2908,                0.80125,                0.64938,                0.73631,                0.41857,                  1.675,                 1.2284,                  1.342,               0.006238,               0.006238,               0.006238
                    116,                  1.651,                  1.264,                 1.3027,                0.78956,                0.64596,                0.73422,                0.41926,                 1.6739,                 1.2208,                 1.3432,               0.006205,               0.006205,               0.006205
                    117,                 1.6636,                 1.2668,                 1.2959,                0.79407,                0.64558,                0.73456,                0.41937,                 1.6753,                 1.2217,                 1.3434,               0.006172,               0.006172,               0.006172
                    118,                  1.668,                 1.2796,                 1.3008,                0.80362,                0.64717,                0.73406,                0.41865,                 1.6741,                 1.2163,                 1.3422,               0.006139,               0.006139,               0.006139
                    119,                 1.6676,                  1.264,                 1.2942,                0.78687,                0.65133,                0.73556,                0.41888,                 1.6729,                  1.219,                 1.3417,               0.006106,               0.006106,               0.006106
                    120,                 1.6568,                 1.2616,                 1.2882,                0.78664,                0.65061,                0.73451,                0.41794,                 1.6725,                 1.2217,                 1.3406,               0.006073,               0.006073,               0.006073
                    121,                 1.6494,                 1.2654,                 1.2842,                0.80557,                  0.642,                  0.735,                0.41787,                 1.6695,                  1.224,                 1.3408,                0.00604,                0.00604,                0.00604
                    122,                 1.6568,                 1.2629,                 1.2962,                0.78745,                0.65012,                0.73451,                0.41949,                 1.6684,                 1.2191,                 1.3394,               0.006007,               0.006007,               0.006007
                    123,                 1.6535,                  1.254,                 1.2896,                0.78969,                 0.6467,                0.73161,                0.41726,                 1.6689,                  1.218,                 1.3381,               0.005974,               0.005974,               0.005974
                    124,                 1.6428,                 1.2522,                 1.2861,                0.79537,                0.64516,                0.73052,                0.41905,                 1.6704,                 1.2191,                 1.3408,               0.005941,               0.005941,               0.005941
                    125,                 1.6503,                 1.2455,                 1.2869,                0.78588,                0.65186,                0.73396,                0.42059,                 1.6684,                 1.2163,                 1.3409,               0.005908,               0.005908,               0.005908
                    126,                 1.6416,                 1.2402,                 1.2868,                0.79656,                0.65528,                0.73543,                0.42162,                 1.6663,                 1.2139,                 1.3397,               0.005875,               0.005875,               0.005875
                    127,                 1.6563,                 1.2641,                 1.2908,                0.79255,                0.65606,                0.73766,                0.42267,                 1.6653,                 1.2121,                 1.3372,               0.005842,               0.005842,               0.005842
                    128,                 1.6487,                 1.2531,                 1.2924,                0.78323,                0.65789,                0.73675,                0.42422,                 1.6633,                 1.2071,                 1.3354,               0.005809,               0.005809,               0.005809
                    129,                 1.6362,                 1.2308,                 1.2807,                0.77775,                0.66847,                0.73991,                0.42493,                 1.6632,                 1.2065,                 1.3359,               0.005776,               0.005776,               0.005776
                    130,                 1.6325,                 1.2351,                 1.2833,                 0.7892,                0.65574,                 0.7373,                0.42546,                 1.6646,                 1.2087,                 1.3371,               0.005743,               0.005743,               0.005743
                    131,                 1.6413,                 1.2485,                 1.2829,                0.79031,                 0.6644,                0.73949,                0.42767,                 1.6594,                  1.206,                 1.3342,                0.00571,                0.00571,                0.00571
